Date,Price
29-Sep-17,"4,157.00"
28-Sep-17,"4,189.40"
27-Sep-17,"4,200.00"
26-Sep-17,"3,885.10"
25-Sep-17,"3,920.00"
24-Sep-17,"3,670.50"
23-Sep-17,"3,788.50"
22-Sep-17,"3,619.00"
21-Sep-17,"3,617.50"
20-Sep-17,"3,867.10"
19-Sep-17,"3,910.10"
18-Sep-17,"4,100.00"
17-Sep-17,"3,719.90"
16-Sep-17,"3,726.50"
15-Sep-17,"3,740.00"
14-Sep-17,"3,250.40"
13-Sep-17,"3,855.60"
12-Sep-17,"4,164.50"
11-Sep-17,"4,210.70"
10-Sep-17,"4,251.40"
9-Sep-17,"4,334.40"
8-Sep-17,"4,350.00"
7-Sep-17,"4,624.20"
6-Sep-17,"4,616.20"
5-Sep-17,"4,432.50"
4-Sep-17,"4,498.90"
3-Sep-17,"4,626.00"
2-Sep-17,"4,642.00"
1-Sep-17,"4,947.90"
31-Aug-17,"4,743.90"
30-Aug-17,"4,582.00"
29-Aug-17,"4,599.00"
28-Aug-17,"4,384.70"
27-Aug-17,"4,343.90"
26-Aug-17,"4,344.40"
25-Aug-17,"4,360.00"
24-Aug-17,"4,312.00"
23-Aug-17,"4,143.50"
22-Aug-17,"4,090.00"
21-Aug-17,"4,002.00"
20-Aug-17,"4,050.00"
19-Aug-17,"4,157.40"
18-Aug-17,"4,101.70"
17-Aug-17,"4,280.00"
16-Aug-17,"4,370.00"
15-Aug-17,"4,159.90"
14-Aug-17,"4,320.60"
13-Aug-17,"4,060.50"
12-Aug-17,"3,874.00"
11-Aug-17,"3,657.00"
10-Aug-17,"3,445.00"
9-Aug-17,"3,342.10"
8-Aug-17,"3,422.40"
7-Aug-17,"3,398.20"
6-Aug-17,"3,222.20"
5-Aug-17,"3,243.50"
4-Aug-17,"2,857.30"
3-Aug-17,"2,787.00"
2-Aug-17,"2,699.90"
1-Aug-17,"2,732.60"
31-Jul-17,"2,858.40"
30-Jul-17,"2,622.20"
29-Jul-17,"2,679.00"
28-Jul-17,"2,758.50"
27-Jul-17,"2,592.40"
26-Jul-17,"2,525.20"
25-Jul-17,"2,563.40"
24-Jul-17,"2,762.30"
23-Jul-17,"2,754.30"
22-Jul-17,"2,825.30"
21-Jul-17,"2,665.90"
20-Jul-17,"2,849.00"
19-Jul-17,"2,257.90"
18-Jul-17,"2,308.00"
17-Jul-17,"2,229.50"
16-Jul-17,"1,910.90"
15-Jul-17,"1,969.10"
14-Jul-17,"2,217.00"
13-Jul-17,"2,337.50"
12-Jul-17,"2,386.20"
11-Jul-17,"2,310.20"
10-Jul-17,"2,333.10"
9-Jul-17,"2,509.00"
8-Jul-17,"2,560.10"
7-Jul-17,"2,501.30"
